Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
131,0.0612,0.769,0.9775,0.8467,0.9976,0.9124,0.9743,0.8444,0.9775,0.8472,0.9808,0.8501,0.9975,0.8798,0.9975,0.8793
132,0.059,0.7709,0.9783,0.8493,0.9978,0.9131,0.9753,0.8461,0.9784,0.8501,0.9815,0.8541,0.9977,0.8812,0.9977,0.8806
133,0.0572,0.7835,0.9793,0.849,0.9979,0.9131,0.9764,0.8473,0.9794,0.8494,0.9824,0.8514,0.9979,0.8807,0.9979,0.8802
134,0.0576,0.7921,0.9781,0.8479,0.9979,0.9122,0.9747,0.8447,0.9782,0.8486,0.9817,0.8525,0.9978,0.8816,0.9978,0.8811
135,0.0581,0.7681,0.9783,0.8486,0.9978,0.9126,0.976,0.8418,0.9784,0.8501,0.9807,0.8585,0.9978,0.8805,0.9978,0.8797
136,0.0582,0.8004,0.9781,0.8498,0.9978,0.9127,0.9756,0.8416,0.9781,0.8516,0.9806,0.8618,0.9978,0.8792,0.9978,0.878
137,0.057,0.797,0.9788,0.8504,0.9979,0.9133,0.9763,0.8461,0.9788,0.8514,0.9815,0.8567,0.9979,0.8805,0.9979,0.8795
138,0.0555,0.8157,0.9796,0.8461,0.998,0.9119,0.9771,0.8436,0.9796,0.8467,0.9822,0.8499,0.998,0.8799,0.998,0.879
139,0.0541,0.8234,0.9798,0.8491,0.9981,0.9121,0.9772,0.8474,0.9798,0.8495,0.9825,0.8517,0.998,0.88,0.998,0.8791
140,0.056,0.807,0.9792,0.8467,0.998,0.9119,0.977,0.8432,0.9792,0.8475,0.9815,0.8519,0.998,0.8795,0.998,0.8786
141,0.0541,0.8113,0.9801,0.8464,0.9981,0.9113,0.9781,0.8405,0.9802,0.8477,0.9823,0.855,0.9981,0.8786,0.9981,0.8776
142,0.0545,0.8227,0.9798,0.8489,0.9981,0.9121,0.9772,0.844,0.9798,0.85,0.9825,0.8561,0.998,0.8801,0.998,0.8791
143,0.0554,0.8105,0.9793,0.8477,0.998,0.9118,0.9762,0.845,0.9793,0.8483,0.9825,0.8517,0.998,0.8783,0.998,0.8774
144,0.055,0.8069,0.979,0.8477,0.9981,0.9117,0.9766,0.8411,0.979,0.8492,0.9815,0.8574,0.9981,0.8786,0.9981,0.8778
145,0.0553,0.8228,0.9795,0.8501,0.998,0.9127,0.9768,0.8462,0.9796,0.851,0.9824,0.8559,0.998,0.8799,0.998,0.879
146,0.0557,0.8424,0.9794,0.8473,0.998,0.9133,0.9767,0.849,0.9794,0.847,0.9822,0.8451,0.998,0.8812,0.998,0.8801
147,0.0524,0.8432,0.9801,0.8508,0.9982,0.9136,0.9773,0.8467,0.9801,0.8517,0.983,0.8567,0.9982,0.8818,0.9982,0.8804
148,0.0531,0.8069,0.9805,0.846,0.9982,0.9116,0.9781,0.8368,0.9805,0.8481,0.9829,0.8598,0.9981,0.8788,0.9981,0.8776
149,0.0518,0.8444,0.9805,0.8459,0.9983,0.9113,0.9781,0.8456,0.9805,0.846,0.983,0.8464,0.9983,0.8793,0.9983,0.8783
150,0.0532,0.8191,0.9802,0.8478,0.9982,0.9129,0.9782,0.8424,0.9803,0.849,0.9824,0.8556,0.9981,0.8804,0.9981,0.8792
Epoch,Test Loss,Test Accuracy,Test AUC ROC,Test PR,Test F1,Test Recall,Test Int AP,Test AP
150,0.7,0.8506,0.915,0.8444,0.852,0.8597,0.8817,0.8812
